Fases de Investimento,N.. Part (1) SCR,Valor SCR,% SCR,N.. Part (1) FCR,Valor FCR,% FCR,N.. Part (1) Total,Valor Total,Total Total
Venture Capital,74,66.5,0.1312931885,518,319.6,0.1239288069,592,386.1,0.1251377455
Seed capital,8,23.2,0.04580454097,138,44.3,0.01717786653,146,67.5,0.02187722824
Startup,44,41.4,0.08173741362,293,196.9,0.07635038195,337,238.3,0.07723471835
Early stage,22,1.9,0.003751233959,87,78.4,0.03040055838,109,80.3,0.02602579892
Private Equity,108,440,0.8687068115,614,2259.3,0.8760711931,722,2699.3,0.8748622545
Expansao ,48,358.3,0.7074037512,276,442.5,0.1715847842,324,800.8,0.2595449537
Capital de substituicao,8,5.9,0.01164856861,48,176.3,0.06836248013,56,182.2,0.05905231088
Turnaorund,6,5.1,0.01006910168,111,1077.8,0.4179301252,117,1082.9,0.3509755623
Refinanciamento da divida banÂ´caria,0,0,0,42,20,0.007755244484,42,20,0.0064821417
Management buyout,10,9.2,0.01816386969,23,34.2,0.01326146807,33,43.4,0.01406624749
Management buyin,2,16.9,0.03336623889,9,35.4,0.01372678274,11,52.3,0.01695080054
Outros,34,44.6,0.08805528134,105,473.1,0.1834503083,139,517.7,0.1677902379
Total,182,506.5,1,1132,2578.9,1,1314,3085.4,1