Entidade Gestora,Quota de Mercado global 2013,Quota de Mercado (SCR) 2013,Quota de Mercado (FCR) 2013,N.. FCR Geridos 2013,Dimensao Media FCR (10 . 6 Euro),N.. FCR Geridos 2012,Dimensao Media FCR 2012 (10 . 6 euro),var media FCR 2013/2012
"Banco Efisa, SA",0,0,0,1,0.7,1,1.7,-61.2
"BPI Private Equity - SCR, SA",0.8,4.5,0,0,,0,,
"Millennium BCP Gestao de Activos - SGFI, SA",0.8,0,1,1,30.1,0,,
"Patris Gestao de Activos - SGFIM, SA",0.8,0,1,3,9.5,3,8.2,15.9
"Espirito Santo Capital - SCR, SA",5.6,11.4,4.4,3,43.6,3,38.9,11.9
"Caixa Capital - SCR, SA",12.6,7.3,13.8,4,102.2,4,104.3,-1.4
"Caixa Central de Credito Agricola Mutuo, CRL",0.1,0,0.1,1,2.3,1,2.7,-13.8
"Portugal Ventures, SCR",7.2,8.7,6.8,20,10.2,25,8.4,21.5
"BCP Capital - SCR, SA",0.3,1.7,0,1,0.1,1,0.2,-31.7
"Novabase Capital - SCR, SA",0.6,1.2,0.5,2,7.4,2,4.8,53.5
"Change Partners - SCR, SA",0.6,1,0.5,3,5.4,3,5.6,-2.6
"Drive - SCR, SA",0.1,0.3,0,0,,0,,
"Gepasa - SCR, SA",0,0,0,0,,0,,
"Finpro, SCR, SA",8.9,50.9,0,0,,0,,
"FamiGeste - SCR, SA",0.2,1.1,0,0,,0,,
"Explorer Investments - SCR, SA",5.5,2.1,6.3,4,46.7,3,49,-4.7
"Banif Capital, SCR, SA",2.7,3.9,2.4,4,17.9,3,22.5,-20.3
"ISQ - SCR, SA",0.3,0.1,0.3,4,2.6,4,2.8,-7
"Beta - SCR, SA",0.2,0.5,0.1,2,1.3,2,1.1,17.5
"ONETIER PARTNERS SCR, SA",0,0.1,0,0,,0,15.1,-2.4
"Agrocapital - SCR, SA",0.4,0.2,0.5,1,14.7,1,32.5,-3.6
"Espirito Santo Ventures - SCR, SA",5.4,1,6.3,6,31.3,6,,
"Centro Venture - SCR, SA",0,0.1,0,0,,0,425,0.1
"ECS - SCR, SA",36.6,2,42.7,3,425.5,3,1.2,
"Naves - SCR, SA",0,0.2,0,0,,0,3.7,
"MNF Gestao de Activos - SGFIM, SA",0,0,0,1,1.3,0,20.1,3.1
"2BPARTNER - SCR, SA",0.1,0.3,0,1,1.3,1,0.1,18.4
"Critical Ventures - SCR, SA",0.1,0,0.1,1,4.4,1,26.6,-25.1
"Capital Criativo - SCR, SA",0.9,0.3,1,2,15.1,1,,83.7
Bem Comum - SCR,0,0,0,1,0.2,1,,-29.6
"Inter Risco - SCR, SA",1.6,0.3,1.9,3,18.8,2,1.7,
"3Angle Capital Growth - SCR, SA",0,0,0,0,,0,,
"Biz Capital - SCR, SA",0,0,0,1,0,0,,8742.3
"Oxy Capital - SCR, SA",8.4,0.5,10.1,2,150.3,1,,
"Erigo - SCR, SA",0.1,0.1,0.1,1,3.6,0,,
"Global Reach Investments - SCR, SA",0,0,0,0,,0,,
"Azimuth Investments, SCR, SA (Nova)",0,0,0,0,,0,,
"Vallis Capital Partners - SCR, SA",0,0,0,0,,0,,
"Menlo Capital - SCR, SA (Nova",0,0.1,0,1,0.2,,,
Total,100.9,99.9,99.9,77,38.8,72,47.1,-17.6