Valores em 10 ^3 Euros,N.. Obs,% Total,Valor Total,%Total
0,256,0.3440860215,0,0
]0-100],160,0.2150537634,3921072.18,0.003419138951
[100-500[,127,0.1706989247,33378130.12,0.0291054231
[500-1000[,58,0.07795698925,41002298.11,0.03575362761
[1000-5000[,96,0.1290322581,226023697.29,0.1970905895
[5000-10000[,23,0.03091397849,156668999.45,0.1366139295
[10000 -20000 [,17,0.02284946237,246844500.19,0.2152461385
[20000-100000[,5,0.006720430108,159333056.67,0.138936963
>100000,2,0.002688172043,279629307.94,0.2438341899
Total,744,1,1146801061.95,1.00