,SCR,var 2013/2012,FCR,VAR 2013/2012,Total,var 2013/2012
Valor dos Investimentos,506.3,-0.8,2578.8,16,3085.1,12.9
Participacoes Sociais (accoes e quotas),393,13.5,674.5,3.9,1067.5,-3.2
Em Empresas Residentes,71.6,-9.4,513.1,7.6,584.7,5.2
Em Empresas Nao Residentes,321.4,-14.3,161.4,-6.2,482.8,-11.8
Outros investimentos (1),55.2,-1.5,1883.1,19.7,1938.3,19
Em empresas Residentes,32.1,2.3,1879.4,20.6,1911.5,20.2
Em Empresas Nao Residentes,23.1,-6.3,3.7,-75,26.8,-31.3
Investimento em UP de FCR,58.1,4.1,21.2,40.5,79.3,11.9
Depositos e Outros Meio Liquidos afectos a CR,88.5,-8.5,288.3,22.9,376.8,13.7
Outros (2),40.8,1.3,120.2,-0.3,161,0.1
Total,635.6,-9.6,2987.3,15.2,9713.8,9.9