Tipo de Investimento,SCR,VAR 2013/2012,FCR,VAR 2013/2012,Total,var 2013/2012
Participacoes Sociais (accoes e quotas),98,-9.3,596,8.4,694,5.5
Em Empresas Residentes,76,-7.3,558,10.3,634,7.8
Em Empresas Nao Residentes,22,-15.4,38,-13.6,60,-14.3
Investimento em UP de FCR,36,0,14,16.6,50,4.2
Em Empresas Residentes,36,0,13,18.2,49,4.3
Em Empresas Nao Residentes,0,,1,0,1,0
Outros Investimentos,48,-4,514,19.8,562,17.3
Em Empresas Residentes,47,-2.1,499,20.8,546,18.4
Em Empresas Nao Residentes,1,-50,15,-6.3,16,-11.1
Total,182,-6.2,1124,13.4,1306,10.2